1,000	1,001	93,862	55,636
2,000	2,001	88,950	53,003
3,000	3,002	89,614	56,324
4,000	4,002	90,676	58,051
5,000	5,003	89,083	58,715
6,000	6,003	89,614	60,043
7,000	7,004	89,747	58,715
8,000	8,004	88,423	61,100
9,000	9,006	89,350	54,477
10,000	10,006	87,489	63,099
11,000	11,006	86,827	63,496
12,000	12,007	87,622	64,556
13,000	13,007	87,754	60,052
14,000	14,008	88,814	60,317
15,000	15,008	88,946	55,019
16,000	16,009	92,402	58,052
17,000	17,009	90,945	62,555
18,000	18,010	89,621	67,985
19,000	19,010	88,296	67,191
20,000	20,011	89,356	71,032
21,000	21,011	90,018	68,913
22,000	22,012	90,415	70,502
23,000	23,012	90,680	69,045
24,000	24,013	91,475	68,515
25,000	25,013	92,799	73,151
26,000	26,013	94,786	72,224
27,000	27,015	95,581	72,091
28,000	28,015	93,859	76,197
29,000	29,016	92,270	74,078
30,000	30,016	89,885	72,356
31,000	31,017	91,740	71,429
32,000	32,017	90,945	71,429
33,000	33,018	90,548	71,032
34,000	34,018	89,091	68,913
35,000	35,019	89,356	69,707
36,000	36,019	89,488	69,442
37,000	37,020	86,442	71,429
38,000	38,020	86,707	71,826
39,000	39,021	83,660	77,389
40,000	40,021	81,409	76,727
41,000	41,022	79,819	77,522
42,000	42,022	84,720	76,727
43,000	43,022	84,323	77,654
44,000	44,024	82,071	76,065
45,000	45,024	81,409	80,038
46,000	46,025	80,879	86,661
47,000	47,025	79,952	88,648
48,000	48,026	79,157	91,032
49,000	49,026	79,157	93,416
50,000	50,027	80,746	94,740
51,000	51,027	79,687	94,740
52,000	52,028	81,541	105,469
53,000	53,028	81,541	105,469
54,000	54,029	83,640	85,816
55,000	55,029	84,170	81,181
56,000	56,030	83,243	80,253
57,000	57,030	83,508	81,048
58,000	58,030	84,038	78,532
59,000	59,031	83,375	79,459
60,000	60,031	80,859	80,121
61,000	61,032	80,726	78,532
62,000	62,033	78,342	81,975
63,000	63,034	79,667	82,373
64,000	64,034	82,581	78,929
65,000	65,035	85,097	78,929
66,000	66,035	84,038	78,267
67,000	67,036	84,965	77,737
68,000	68,036	84,303	80,121
69,000	69,037	83,243	80,651
70,000	70,037	84,170	81,445
71,000	71,037	83,905	81,710
72,000	72,038	84,170	80,386
73,000	73,038	83,773	79,326
74,000	74,039	84,700	78,532
75,000	75,039	85,230	74,690
76,000	76,040	80,594	83,432
77,000	77,040	80,991	88,465
78,000	78,041	79,667	87,671
79,000	79,042	77,415	89,128
80,000	80,043	77,548	89,128
81,000	81,043	76,223	88,863
82,000	82,044	76,091	88,333
83,000	83,044	75,164	88,333
84,000	84,045	72,779	87,935
85,000	85,045	71,720	88,995
86,000	86,046	73,309	86,214
87,000	87,046	72,647	89,128
88,000	88,046	75,561	89,657
89,000	89,047	73,707	86,214
90,000	90,047	75,958	85,419
91,000	91,048	75,826	83,830
92,000	92,048	75,031	84,757
93,000	93,049	74,236	84,492
94,000	94,049	74,369	85,154
95,000	95,050	76,356	82,637
96,000	96,050	77,945	81,445
97,000	97,052	77,945	81,710
98,000	98,052	78,342	82,505
99,000	99,053	78,607	84,492
100,000	100,053	77,150	85,419
101,000	101,054	79,005	85,816
102,000	102,054	75,561	92,571
103,000	103,054	75,826	91,777
104,000	104,055	77,680	92,174
105,000	105,055	77,415	94,823
106,000	106,056	76,885	95,088
107,000	107,056	74,104	96,015
108,000	108,057	73,707	96,942
109,000	109,057	74,236	96,545
110,000	110,058	74,766	99,591
111,000	111,058	76,091	99,061
112,000	112,059	74,501	98,664
113,000	113,059	73,839	98,796
114,000	114,061	74,766	99,459
115,000	115,061	75,561	98,664
116,000	116,061	75,296	99,724
117,000	117,062	75,561	100,121
118,000	118,062	77,415	98,532
119,000	119,063	75,561	99,459
120,000	120,063	75,031	99,724
121,000	121,064	75,031	102,637
122,000	122,064	74,236	104,359
123,000	123,065	71,852	105,816
124,000	124,065	69,468	107,141
125,000	125,066	67,084	105,154
126,000	126,066	66,687	99,194
127,000	127,067	69,071	106,081
128,000	128,067	66,422	111,512
129,000	129,068	68,144	114,955
130,000	130,068	71,058	109,922
131,000	131,068	71,985	111,114
132,000	132,070	72,515	112,174
133,000	133,070	71,455	113,366
134,000	134,071	72,912	111,512
135,000	135,071	73,309	109,260
136,000	136,072	73,442	106,479
137,000	137,072	78,342	105,949
138,000	138,073	77,680	108,333
139,000	139,073	78,475	105,816
140,000	140,074	78,475	106,876
141,000	141,074	75,693	111,379
142,000	142,075	75,428	113,896
143,000	143,075	79,259	102,951
144,000	144,076	79,658	107,067
145,000	145,076	77,671	106,272
146,000	146,077	79,260	103,226
147,000	147,077	82,307	99,650
148,000	148,077	79,260	108,392
149,000	149,079	77,936	114,484
